Mã đơn hàng,Ngày đặt hàng,Trạng Thái Đơn Hàng,SKU phân loại hàng,Tên sản phẩm,Số lượng,Giá gốc,Tổng giá bán (sản phẩm),Mã giảm giá của Shop,Phí cố định,Phí thanh toán,Phí Voucher Xtra & Freeship Xtra,Phí Dịch Vụ,Thuế khấu trừ,Phí vận chuyển trả hàng,Tỉnh/Thành phố,Đơn Vị Vận Chuyển
SP260002590,2026-02-08 19:58:18,Hoàn thành,LAN-089,Quần mẫu 089,1,219000,219000,14000.0,32800.0,12300.0,18450.0,2050.0,3075.0,0,TP.HCM,GHN
SP260002592,2026-02-08 20:35:00,Hoàn thành,LAN-111,Chân váy mẫu 111,1,209000,209000,16000.0,30880.0,11580.0,17370.0,1930.0,2895.0,0,TP.HCM,J&T Express
SP260002593,2026-02-08 20:37:22,Hoàn thành,LAN-046,Váy/Đầm mẫu 046,2,269000,538000,53000.0,77600.0,29100.0,43650.0,4850.0,7275.0,0,Đồng Nai,GHN
SP260002595,2026-02-08 20:59:27,Hoàn thành,LAN-105,Quần mẫu 105,1,209000,209000,0.0,33440.0,12540.0,18810.0,2090.0,3135.0,0,Hà Nội,J&T Express
SP260002597,2026-02-08 21:47:49,Hoàn thành,LAN-038,Áo mẫu 038,2,229000,458000,0.0,73280.0,27480.0,41220.0,4580.0,6870.0,0,Cần Thơ,GHN
SP260002598,2026-02-08 22:07:48,Hoàn thành,LAN-010,Áo mẫu 010,1,229000,229000,20000.0,33440.0,12540.0,18810.0,2090.0,3135.0,0,Cần Thơ,GHN
SP260002599,2026-02-08 22:08:30,Hoàn thành,LAN-118,Chân váy mẫu 118,1,299000,299000,17000.0,45120.0,16920.0,25380.0,2820.0,4230.0,0,TP.HCM,SPX Express
SP260002600,2026-02-08 22:13:23,Đã huỷ,LAN-038,Áo mẫu 038,1,229000,229000,0.0,0.0,0.0,0.0,0.0,0.0,0,Hà Nội,J&T Express
SP260002601,2026-02-08 22:27:45,Hoàn thành,LAN-148,Phụ kiện mẫu 148,1,129000,129000,9000.0,19200.0,7200.0,10800.0,1200.0,1800.0,0,Nghệ An,SPX Express
SP260002602,2026-02-08 22:33:08,Hoàn thành,LAN-113,Chân váy mẫu 113,1,289000,289000,0.0,46240.0,17340.0,26010.0,2890.0,4335.0,0,Hà Nội,SPX Express
SP260002606,2026-02-09 07:08:57,Đã huỷ,LAN-012,Áo mẫu 012,3,269000,807000,0.0,0.0,0.0,0.0,0.0,0.0,0,Nghệ An,SPX Express
SP260002607,2026-02-09 07:12:24,Đã huỷ,LAN-068,Váy/Đầm mẫu 068,2,219000,438000,0.0,0.0,0.0,0.0,0.0,0.0,0,TP.HCM,GHN
SP260002608,2026-02-09 07:25:38,Hoàn thành,LAN-011,Áo mẫu 011,2,259000,518000,0.0,82880.0,31080.0,46620.0,5180.0,7770.0,0,Nghệ An,SPX Express
SP260002610,2026-02-09 07:26:16,Hoàn thành,LAN-127,Chân váy mẫu 127,1,279000,279000,70000.0,33440.0,12540.0,18810.0,2090.0,3135.0,0,TP.HCM,SPX Express
SP260002611,2026-02-09 08:28:29,Hoàn thành,LAN-056,Váy/Đầm mẫu 056,1,99000,99000,0.0,15840.0,5940.0,8910.0,990.0,1485.0,0,Bình Dương,J&T Express
SP260002612,2026-02-09 08:37:09,Hoàn thành,LAN-011,Áo mẫu 011,1,259000,259000,0.0,41440.0,15540.0,23310.0,2590.0,3885.0,0,Hà Nội,J&T Express
SP260002614,2026-02-09 09:52:18,Hoàn thành,LAN-056,Váy/Đầm mẫu 056,1,99000,99000,8000.0,14560.0,5460.0,8190.0,910.0,1365.0,0,Cần Thơ,SPX Express
SP260002615,2026-02-09 10:15:05,Hoàn thành,LAN-046,Váy/Đầm mẫu 046,1,269000,269000,26000.0,38880.0,14580.0,21870.0,2430.0,3645.0,0,TP.HCM,GHN
SP260002617,2026-02-09 11:26:36,Đã huỷ,LAN-118,Chân váy mẫu 118,2,299000,598000,0.0,0.0,0.0,0.0,0.0,0.0,0,Hà Nội,SPX Express
SP260002618,2026-02-09 11:41:26,Đã huỷ,LAN-072,Váy/Đầm mẫu 072,1,209000,209000,13000.0,0.0,0.0,0.0,0.0,0.0,0,Hà Nội,SPX Express
SP260002619,2026-02-09 11:48:16,Hoàn thành,LAN-122,Chân váy mẫu 122,1,239000,239000,13000.0,36160.0,13560.0,20340.0,2260.0,3390.0,0,Hải Phòng,J&T Express
SP260002621,2026-02-09 12:36:06,Hoàn thành,LAN-137,Set đồ mẫu 137,3,99000,297000,0.0,47520.0,17820.0,26730.0,2970.0,4455.0,0,Hà Nội,J&T Express
SP260002622,2026-02-09 12:40:59,Hoàn thành,LAN-052,Váy/Đầm mẫu 052,1,139000,139000,0.0,22240.0,8340.0,12510.0,1390.0,2085.0,0,TP.HCM,SPX Express
SP260002624,2026-02-09 13:13:58,Đã trả hàng,LAN-008,Áo mẫu 008,1,109000,109000,7000.0,0.0,0.0,0.0,0.0,0.0,30000,Hà Nội,SPX Express
SP260002625,2026-02-09 13:32:36,Hoàn thành,LAN-130,Chân váy mẫu 130,1,99000,99000,10000.0,14240.0,5340.0,8010.0,890.0,1335.0,0,TP.HCM,GHN
SP260002626,2026-02-09 13:38:55,Hoàn thành,LAN-026,Áo mẫu 026,1,229000,229000,23000.0,32960.0,12360.0,18540.0,2060.0,3090.0,0,Hà Nội,GHN
SP260002628,2026-02-09 15:08:22,Hoàn thành,LAN-044,Áo mẫu 044,1,249000,249000,25000.0,35840.0,13440.0,20160.0,2240.0,3360.0,0,TP.HCM,GHN
SP260002632,2026-02-09 16:10:49,Hoàn thành,LAN-076,Váy/Đầm mẫu 076,1,169000,169000,17000.0,24320.0,9120.0,13680.0,1520.0,2280.0,0,Đồng Nai,SPX Express
SP260002635,2026-02-09 17:03:48,Đã trả hàng,LAN-034,Áo mẫu 034,2,279000,558000,140000.0,0.0,0.0,0.0,0.0,0.0,30000,Cần Thơ,SPX Express
SP260002638,2026-02-09 17:22:04,Hoàn thành,LAN-064,Váy/Đầm mẫu 064,1,279000,279000,19000.0,41600.0,15600.0,23400.0,2600.0,3900.0,0,Đà Nẵng,SPX Express
SP260002640,2026-02-09 17:43:00,Hoàn thành,LAN-079,Váy/Đầm mẫu 079,1,119000,119000,11000.0,17280.0,6480.0,9720.0,1080.0,1620.0,0,Đồng Nai,SPX Express
SP260002641,2026-02-09 17:59:13,Hoàn thành,LAN-149,Phụ kiện mẫu 149,1,169000,169000,0.0,27040.0,10140.0,15210.0,1690.0,2535.0,0,Hà Nội,J&T Express
SP260002642,2026-02-09 18:18:07,Hoàn thành,LAN-122,Chân váy mẫu 122,1,239000,239000,17000.0,35520.0,13320.0,19980.0,2220.0,3330.0,0,Hà Nội,SPX Express
SP260002644,2026-02-09 19:13:30,Hoàn thành,LAN-065,Váy/Đầm mẫu 065,1,169000,169000,16000.0,24480.0,9180.0,13770.0,1530.0,2295.0,0,Bình Dương,SPX Express
SP260002646,2026-02-09 19:29:11,Hoàn thành,LAN-074,Váy/Đầm mẫu 074,1,139000,139000,14000.0,20000.0,7500.0,11250.0,1250.0,1875.0,0,TP.HCM,J&T Express
SP260002647,2026-02-09 20:21:03,Hoàn thành,LAN-025,Áo mẫu 025,2,119000,238000,0.0,38080.0,14280.0,21420.0,2380.0,3570.0,0,Hà Nội,J&T Express
SP260002648,2026-02-09 20:35:30,Hoàn thành,LAN-149,Phụ kiện mẫu 149,1,169000,169000,0.0,27040.0,10140.0,15210.0,1690.0,2535.0,0,TP.HCM,J&T Express
SP260002651,2026-02-09 21:29:07,Hoàn thành,LAN-096,Quần mẫu 096,1,289000,289000,0.0,46240.0,17340.0,26010.0,2890.0,4335.0,0,Hà Nội,J&T Express
SP260002652,2026-02-09 21:34:52,Hoàn thành,LAN-103,Quần mẫu 103,1,259000,259000,20000.0,38240.0,14340.0,21510.0,2390.0,3585.0,0,Khánh Hoà,J&T Express
SP260002653,2026-02-09 22:14:19,Đã huỷ,LAN-034,Áo mẫu 034,2,279000,558000,140000.0,0.0,0.0,0.0,0.0,0.0,0,Hà Nội,GHN
SP260002654,2026-02-09 22:22:15,Hoàn thành,LAN-044,Áo mẫu 044,1,249000,249000,21000.0,36480.0,13680.0,20520.0,2280.0,3420.0,0,TP.HCM,J&T Express
SP260002658,2026-02-10 07:32:14,Hoàn thành,LAN-027,Áo mẫu 027,1,199000,199000,0.0,31840.0,11940.0,17910.0,1990.0,2985.0,0,TP.HCM,GHN
SP260002659,2026-02-10 07:55:56,Hoàn thành,LAN-053,Váy/Đầm mẫu 053,2,189000,378000,26000.0,56320.0,21120.0,31680.0,3520.0,5280.0,0,TP.HCM,SPX Express
SP260002660,2026-02-10 08:05:37,Hoàn thành,LAN-142,Set đồ mẫu 142,1,109000,109000,8000.0,16160.0,6060.0,9090.0,1010.0,1515.0,0,TP.HCM,SPX Express
SP260002665,2026-02-10 09:57:54,Hoàn thành,LAN-029,Áo mẫu 029,1,159000,159000,0.0,25440.0,9540.0,14310.0,1590.0,2385.0,0,Hà Nội,SPX Express
SP260002666,2026-02-10 09:58:06,Hoàn thành,LAN-025,Áo mẫu 025,1,119000,119000,0.0,19040.0,7140.0,10710.0,1190.0,1785.0,0,TP.HCM,J&T Express
SP260002668,2026-02-10 10:10:36,Đã trả hàng,LAN-030,Áo mẫu 030,1,99000,99000,5000.0,0.0,0.0,0.0,0.0,0.0,30000,Hải Phòng,J&T Express
SP260002669,2026-02-10 10:15:05,Hoàn thành,LAN-077,Váy/Đầm mẫu 077,1,219000,219000,0.0,35040.0,13140.0,19710.0,2190.0,3285.0,0,TP.HCM,J&T Express
SP260002671,2026-02-10 10:33:09,Hoàn thành,LAN-125,Chân váy mẫu 125,1,209000,209000,17000.0,30720.0,11520.0,17280.0,1920.0,2880.0,0,Bình Dương,SPX Express
SP260002672,2026-02-10 10:41:21,Đã huỷ,LAN-072,Váy/Đầm mẫu 072,1,209000,209000,0.0,0.0,0.0,0.0,0.0,0.0,0,Hà Nội,J&T Express
SP260002673,2026-02-10 10:58:27,Hoàn thành,LAN-134,Set đồ mẫu 134,1,129000,129000,10000.0,19040.0,7140.0,10710.0,1190.0,1785.0,0,TP.HCM,GHN
SP260002674,2026-02-10 11:05:33,Hoàn thành,LAN-145,Phụ kiện mẫu 145,1,169000,169000,0.0,27040.0,10140.0,15210.0,1690.0,2535.0,0,Nghệ An,GHN
SP260002675,2026-02-10 11:33:40,Hoàn thành,LAN-134,Set đồ mẫu 134,1,129000,129000,12000.0,18720.0,7020.0,10530.0,1170.0,1755.0,0,Hà Nội,J&T Express
SP260002676,2026-02-10 11:33:42,Hoàn thành,LAN-115,Chân váy mẫu 115,1,219000,219000,18000.0,32160.0,12060.0,18090.0,2010.0,3015.0,0,Đồng Nai,GHN
SP260002677,2026-02-10 11:43:37,Hoàn thành,LAN-027,Áo mẫu 027,1,199000,199000,0.0,31840.0,11940.0,17910.0,1990.0,2985.0,0,TP.HCM,J&T Express
SP260002678,2026-02-10 11:45:12,Hoàn thành,LAN-122,Chân váy mẫu 122,1,239000,239000,16000.0,35680.0,13380.0,20070.0,2230.0,3345.0,0,Bình Dương,GHN
SP260002679,2026-02-10 12:11:56,Đã trả hàng,LAN-077,Váy/Đầm mẫu 077,1,219000,219000,19000.0,0.0,0.0,0.0,0.0,0.0,30000,Bình Dương,GHN
SP260002680,2026-02-10 12:31:33,Hoàn thành,LAN-132,Set đồ mẫu 132,1,209000,209000,0.0,33440.0,12540.0,18810.0,2090.0,3135.0,0,Hà Nội,J&T Express
SP260002681,2026-02-10 12:39:41,Hoàn thành,LAN-103,Quần mẫu 103,1,259000,259000,0.0,41440.0,15540.0,23310.0,2590.0,3885.0,0,TP.HCM,J&T Express
SP260002682,2026-02-10 12:49:35,Hoàn thành,LAN-037,Áo mẫu 037,2,209000,418000,0.0,66880.0,25080.0,37620.0,4180.0,6270.0,0,Hải Phòng,J&T Express
SP260002686,2026-02-10 14:52:34,Hoàn thành,LAN-113,Chân váy mẫu 113,1,289000,289000,25000.0,42240.0,15840.0,23760.0,2640.0,3960.0,0,Thanh Hoá,J&T Express
SP260002687,2026-02-10 15:02:33,Hoàn thành,LAN-127,Chân váy mẫu 127,1,279000,279000,70000.0,33440.0,12540.0,18810.0,2090.0,3135.0,0,Hà Nội,SPX Express
SP260002688,2026-02-10 15:03:44,Hoàn thành,LAN-089,Quần mẫu 089,2,219000,438000,0.0,70080.0,26280.0,39420.0,4380.0,6570.0,0,Cần Thơ,SPX Express
SP260002689,2026-02-10 15:27:18,Hoàn thành,LAN-059,Váy/Đầm mẫu 059,1,99000,99000,0.0,15840.0,5940.0,8910.0,990.0,1485.0,0,Đồng Nai,SPX Express
SP260002690,2026-02-10 15:34:27,Hoàn thành,LAN-027,Áo mẫu 027,1,199000,199000,0.0,31840.0,11940.0,17910.0,1990.0,2985.0,0,Hà Nội,GHN
SP260002691,2026-02-10 15:56:01,Hoàn thành,LAN-128,Chân váy mẫu 128,1,169000,169000,10000.0,25440.0,9540.0,14310.0,1590.0,2385.0,0,Nghệ An,J&T Express
SP260002693,2026-02-10 17:03:18,Hoàn thành,LAN-050,Váy/Đầm mẫu 050,1,289000,289000,28000.0,41760.0,15660.0,23490.0,2610.0,3915.0,0,TP.HCM,SPX Express
SP260002696,2026-02-10 17:22:49,Hoàn thành,LAN-026,Áo mẫu 026,2,229000,458000,37000.0,67360.0,25260.0,37890.0,4210.0,6315.0,0,Hải Phòng,SPX Express
SP260002697,2026-02-10 17:56:59,Hoàn thành,LAN-149,Phụ kiện mẫu 149,1,169000,169000,0.0,27040.0,10140.0,15210.0,1690.0,2535.0,0,Hải Phòng,SPX Express
SP260002701,2026-02-10 19:00:47,Đã trả hàng,LAN-122,Chân váy mẫu 122,1,239000,239000,23000.0,0.0,0.0,0.0,0.0,0.0,30000,Khánh Hoà,J&T Express
SP260002705,2026-02-10 19:51:30,Hoàn thành,LAN-127,Chân váy mẫu 127,1,279000,279000,70000.0,33440.0,12540.0,18810.0,2090.0,3135.0,0,Khánh Hoà,GHN
SP260002706,2026-02-10 20:43:32,Hoàn thành,LAN-062,Váy/Đầm mẫu 062,2,269000,538000,32000.0,80960.0,30360.0,45540.0,5060.0,7590.0,0,Khánh Hoà,J&T Express
SP260002709,2026-02-10 21:08:57,Hoàn thành,LAN-069,Váy/Đầm mẫu 069,1,159000,159000,12000.0,23520.0,8820.0,13230.0,1470.0,2205.0,0,Hà Nội,GHN
SP260002710,2026-02-10 21:17:54,Hoàn thành,LAN-093,Quần mẫu 093,1,159000,159000,0.0,25440.0,9540.0,14310.0,1590.0,2385.0,0,Hà Nội,J&T Express
SP260002711,2026-02-10 21:25:40,Đã trả hàng,LAN-015,Áo mẫu 015,1,139000,139000,0.0,0.0,0.0,0.0,0.0,0.0,30000,TP.HCM,SPX Express
SP260002713,2026-02-11 07:03:43,Hoàn thành,LAN-044,Áo mẫu 044,1,249000,249000,0.0,39840.0,14940.0,22410.0,2490.0,3735.0,0,Đồng Nai,GHN
SP260002715,2026-02-11 07:09:30,Hoàn thành,LAN-007,Áo mẫu 007,1,239000,239000,0.0,38240.0,14340.0,21510.0,2390.0,3585.0,0,Hà Nội,J&T Express
SP260002716,2026-02-11 07:12:46,Hoàn thành,LAN-092,Quần mẫu 092,2,109000,218000,12000.0,32960.0,12360.0,18540.0,2060.0,3090.0,0,Khánh Hoà,GHN
SP260002717,2026-02-11 07:16:43,Hoàn thành,LAN-087,Quần mẫu 087,1,249000,249000,0.0,39840.0,14940.0,22410.0,2490.0,3735.0,0,Đồng Nai,GHN
SP260002718,2026-02-11 07:20:55,Đã huỷ,LAN-070,Váy/Đầm mẫu 070,2,169000,338000,0.0,0.0,0.0,0.0,0.0,0.0,0,Bình Dương,SPX Express
SP260002719,2026-02-11 07:23:17,Hoàn thành,LAN-055,Váy/Đầm mẫu 055,2,279000,558000,42000.0,82560.0,30960.0,46440.0,5160.0,7740.0,0,Hà Nội,SPX Express
SP260002721,2026-02-11 08:27:20,Hoàn thành,LAN-088,Quần mẫu 088,1,129000,129000,12000.0,18720.0,7020.0,10530.0,1170.0,1755.0,0,Hà Nội,J&T Express
SP260002722,2026-02-11 08:41:38,Hoàn thành,LAN-140,Set đồ mẫu 140,1,159000,159000,11000.0,23680.0,8880.0,13320.0,1480.0,2220.0,0,Đà Nẵng,J&T Express
SP260002723,2026-02-11 09:13:49,Đã trả hàng,LAN-011,Áo mẫu 011,2,259000,518000,44000.0,0.0,0.0,0.0,0.0,0.0,30000,Hà Nội,J&T Express
SP260002724,2026-02-11 09:22:49,Hoàn thành,LAN-102,Quần mẫu 102,1,109000,109000,0.0,17440.0,6540.0,9810.0,1090.0,1635.0,0,Hải Phòng,J&T Express
SP260002725,2026-02-11 09:22:52,Hoàn thành,LAN-119,Chân váy mẫu 119,2,239000,478000,47000.0,68960.0,25860.0,38790.0,4310.0,6465.0,0,Nghệ An,J&T Express
SP260002726,2026-02-11 09:25:24,Hoàn thành,LAN-140,Set đồ mẫu 140,1,159000,159000,0.0,25440.0,9540.0,14310.0,1590.0,2385.0,0,Khánh Hoà,J&T Express
SP260002727,2026-02-11 09:40:08,Hoàn thành,LAN-117,Chân váy mẫu 117,1,259000,259000,0.0,41440.0,15540.0,23310.0,2590.0,3885.0,0,Khánh Hoà,SPX Express
SP260002728,2026-02-11 09:58:42,Đã trả hàng,LAN-129,Chân váy mẫu 129,2,189000,378000,0.0,0.0,0.0,0.0,0.0,0.0,30000,TP.HCM,GHN
SP260002729,2026-02-11 10:18:15,Hoàn thành,LAN-093,Quần mẫu 093,2,159000,318000,0.0,50880.0,19080.0,28620.0,3180.0,4770.0,0,Hải Phòng,SPX Express
SP260002730,2026-02-11 10:21:10,Hoàn thành,LAN-092,Quần mẫu 092,1,109000,109000,0.0,17440.0,6540.0,9810.0,1090.0,1635.0,0,Bình Dương,SPX Express
SP260002731,2026-02-11 10:31:19,Hoàn thành,LAN-058,Váy/Đầm mẫu 058,2,99000,198000,0.0,31680.0,11880.0,17820.0,1980.0,2970.0,0,Hải Phòng,SPX Express
SP260002732,2026-02-11 11:01:09,Hoàn thành,LAN-011,Áo mẫu 011,1,259000,259000,19000.0,38400.0,14400.0,21600.0,2400.0,3600.0,0,Hải Phòng,SPX Express
SP260002736,2026-02-11 12:57:19,Hoàn thành,LAN-113,Chân váy mẫu 113,1,289000,289000,0.0,46240.0,17340.0,26010.0,2890.0,4335.0,0,Hà Nội,J&T Express
SP260002737,2026-02-11 13:28:55,Hoàn thành,LAN-065,Váy/Đầm mẫu 065,1,169000,169000,0.0,27040.0,10140.0,15210.0,1690.0,2535.0,0,Đồng Nai,SPX Express
SP260002738,2026-02-11 13:39:19,Hoàn thành,LAN-140,Set đồ mẫu 140,2,159000,318000,18000.0,48000.0,18000.0,27000.0,3000.0,4500.0,0,Thanh Hoá,J&T Express
SP260002739,2026-02-11 13:41:33,Hoàn thành,LAN-135,Set đồ mẫu 135,1,279000,279000,0.0,44640.0,16740.0,25110.0,2790.0,4185.0,0,Cần Thơ,J&T Express
SP260002740,2026-02-11 13:48:43,Hoàn thành,LAN-046,Váy/Đầm mẫu 046,1,269000,269000,25000.0,39040.0,14640.0,21960.0,2440.0,3660.0,0,Đà Nẵng,SPX Express
SP260002741,2026-02-11 13:55:26,Hoàn thành,LAN-004,Áo mẫu 004,1,179000,179000,0.0,28640.0,10740.0,16110.0,1790.0,2685.0,0,Hà Nội,SPX Express
SP260002742,2026-02-11 14:14:46,Hoàn thành,LAN-057,Váy/Đầm mẫu 057,1,239000,239000,19000.0,35200.0,13200.0,19800.0,2200.0,3300.0,0,TP.HCM,SPX Express
SP260002744,2026-02-11 14:21:08,Hoàn thành,LAN-140,Set đồ mẫu 140,1,159000,159000,15000.0,23040.0,8640.0,12960.0,1440.0,2160.0,0,TP.HCM,GHN
SP260002746,2026-02-11 14:56:49,Đã huỷ,LAN-065,Váy/Đầm mẫu 065,1,169000,169000,9000.0,0.0,0.0,0.0,0.0,0.0,0,Nghệ An,SPX Express
SP260002753,2026-02-11 17:08:57,Hoàn thành,LAN-011,Áo mẫu 011,1,259000,259000,18000.0,38560.0,14460.0,21690.0,2410.0,3615.0,0,TP.HCM,J&T Express
SP260002754,2026-02-11 17:18:17,Hoàn thành,LAN-107,Quần mẫu 107,1,149000,149000,8000.0,22560.0,8460.0,12690.0,1410.0,2115.0,0,Cần Thơ,J&T Express
SP260002755,2026-02-11 17:20:45,Hoàn thành,LAN-074,Váy/Đầm mẫu 074,2,139000,278000,0.0,44480.0,16680.0,25020.0,2780.0,4170.0,0,Hà Nội,GHN
SP260002756,2026-02-11 17:23:24,Hoàn thành,LAN-090,Quần mẫu 090,1,249000,249000,0.0,39840.0,14940.0,22410.0,2490.0,3735.0,0,Hà Nội,SPX Express
SP260002757,2026-02-11 18:16:45,Hoàn thành,LAN-091,Quần mẫu 091,1,169000,169000,0.0,27040.0,10140.0,15210.0,1690.0,2535.0,0,TP.HCM,J&T Express
SP260002758,2026-02-11 18:40:50,Hoàn thành,LAN-127,Chân váy mẫu 127,1,279000,279000,70000.0,33440.0,12540.0,18810.0,2090.0,3135.0,0,Hà Nội,J&T Express
SP260002761,2026-02-11 19:42:21,Hoàn thành,LAN-122,Chân váy mẫu 122,1,239000,239000,13000.0,36160.0,13560.0,20340.0,2260.0,3390.0,0,Khánh Hoà,SPX Express
SP260002762,2026-02-11 19:59:05,Hoàn thành,LAN-001,Áo mẫu 001,1,149000,149000,0.0,23840.0,8940.0,13410.0,1490.0,2235.0,0,TP.HCM,J&T Express
SP260002764,2026-02-11 20:05:13,Hoàn thành,LAN-032,Áo mẫu 032,1,199000,199000,17000.0,29120.0,10920.0,16380.0,1820.0,2730.0,0,Hà Nội,SPX Express
SP260002768,2026-02-11 21:02:07,Hoàn thành,LAN-089,Quần mẫu 089,1,219000,219000,0.0,35040.0,13140.0,19710.0,2190.0,3285.0,0,TP.HCM,J&T Express
SP260002770,2026-02-11 21:20:17,Hoàn thành,LAN-089,Quần mẫu 089,1,219000,219000,0.0,35040.0,13140.0,19710.0,2190.0,3285.0,0,Hà Nội,SPX Express
SP260002773,2026-02-11 21:43:05,Hoàn thành,LAN-118,Chân váy mẫu 118,1,299000,299000,16000.0,45280.0,16980.0,25470.0,2830.0,4245.0,0,Hà Nội,J&T Express
SP260002775,2026-02-11 22:12:04,Hoàn thành,LAN-142,Set đồ mẫu 142,1,109000,109000,0.0,17440.0,6540.0,9810.0,1090.0,1635.0,0,Đồng Nai,GHN
SP260002777,2026-02-12 07:36:17,Hoàn thành,LAN-044,Áo mẫu 044,1,249000,249000,0.0,39840.0,14940.0,22410.0,2490.0,3735.0,0,Hà Nội,SPX Express
SP260002778,2026-02-12 07:49:35,Hoàn thành,LAN-066,Váy/Đầm mẫu 066,2,209000,418000,42000.0,60160.0,22560.0,33840.0,3760.0,5640.0,0,Đà Nẵng,SPX Express
SP260002779,2026-02-12 08:01:24,Hoàn thành,LAN-011,Áo mẫu 011,1,259000,259000,0.0,41440.0,15540.0,23310.0,2590.0,3885.0,0,Đồng Nai,J&T Express
SP260002780,2026-02-12 08:02:25,Đã trả hàng,LAN-036,Áo mẫu 036,1,279000,279000,70000.0,0.0,0.0,0.0,0.0,0.0,30000,Hà Nội,GHN
SP260002781,2026-02-12 08:39:24,Hoàn thành,LAN-072,Váy/Đầm mẫu 072,1,209000,209000,18000.0,30560.0,11460.0,17190.0,1910.0,2865.0,0,TP.HCM,GHN
SP260002782,2026-02-12 08:45:05,Hoàn thành,LAN-138,Set đồ mẫu 138,1,249000,249000,14000.0,37600.0,14100.0,21150.0,2350.0,3525.0,0,TP.HCM,J&T Express
SP260002783,2026-02-12 08:46:17,Đã trả hàng,LAN-037,Áo mẫu 037,1,209000,209000,0.0,0.0,0.0,0.0,0.0,0.0,30000,Bình Dương,GHN
SP260002784,2026-02-12 08:48:55,Hoàn thành,LAN-068,Váy/Đầm mẫu 068,2,219000,438000,32000.0,64960.0,24360.0,36540.0,4060.0,6090.0,0,Khánh Hoà,SPX Express
SP260002785,2026-02-12 08:51:13,Đã huỷ,LAN-093,Quần mẫu 093,1,159000,159000,12000.0,0.0,0.0,0.0,0.0,0.0,0,Nghệ An,GHN
SP260002786,2026-02-12 09:11:47,Hoàn thành,LAN-096,Quần mẫu 096,1,289000,289000,26000.0,42080.0,15780.0,23670.0,2630.0,3945.0,0,Hà Nội,SPX Express
SP260002788,2026-02-12 10:41:58,Hoàn thành,LAN-071,Váy/Đầm mẫu 071,2,229000,458000,0.0,73280.0,27480.0,41220.0,4580.0,6870.0,0,Đồng Nai,J&T Express
SP260002789,2026-02-12 10:51:38,Hoàn thành,LAN-146,Phụ kiện mẫu 146,1,209000,209000,20000.0,30240.0,11340.0,17010.0,1890.0,2835.0,0,Cần Thơ,SPX Express
SP260002792,2026-02-12 11:32:23,Hoàn thành,LAN-034,Áo mẫu 034,2,279000,558000,140000.0,66880.0,25080.0,37620.0,4180.0,6270.0,0,Hà Nội,GHN
SP260002799,2026-02-12 13:06:36,Hoàn thành,LAN-072,Váy/Đầm mẫu 072,1,209000,209000,0.0,33440.0,12540.0,18810.0,2090.0,3135.0,0,Bình Dương,SPX Express
SP260002800,2026-02-12 13:39:14,Hoàn thành,LAN-131,Set đồ mẫu 131,2,259000,518000,0.0,82880.0,31080.0,46620.0,5180.0,7770.0,0,Khánh Hoà,SPX Express
SP260002802,2026-02-12 14:14:08,Hoàn thành,LAN-052,Váy/Đầm mẫu 052,1,139000,139000,13000.0,20160.0,7560.0,11340.0,1260.0,1890.0,0,TP.HCM,J&T Express
SP260002803,2026-02-12 15:03:11,Hoàn thành,LAN-089,Quần mẫu 089,1,219000,219000,15000.0,32640.0,12240.0,18360.0,2040.0,3060.0,0,Bình Dương,SPX Express
SP260002804,2026-02-12 15:22:34,Đã trả hàng,LAN-015,Áo mẫu 015,1,139000,139000,14000.0,0.0,0.0,0.0,0.0,0.0,30000,TP.HCM,J&T Express
SP260002805,2026-02-12 15:24:29,Hoàn thành,LAN-137,Set đồ mẫu 137,2,99000,198000,17000.0,28960.0,10860.0,16290.0,1810.0,2715.0,0,Đà Nẵng,SPX Express
SP260002806,2026-02-12 15:35:22,Hoàn thành,LAN-128,Chân váy mẫu 128,1,169000,169000,0.0,27040.0,10140.0,15210.0,1690.0,2535.0,0,Hà Nội,SPX Express
SP260002807,2026-02-12 15:37:48,Hoàn thành,LAN-087,Quần mẫu 087,1,249000,249000,21000.0,36480.0,13680.0,20520.0,2280.0,3420.0,0,TP.HCM,SPX Express
SP260002808,2026-02-12 15:48:27,Hoàn thành,LAN-127,Chân váy mẫu 127,1,279000,279000,70000.0,33440.0,12540.0,18810.0,2090.0,3135.0,0,Bình Dương,SPX Express
SP260002810,2026-02-12 16:01:00,Đã trả hàng,LAN-044,Áo mẫu 044,1,249000,249000,0.0,0.0,0.0,0.0,0.0,0.0,30000,Đà Nẵng,SPX Express
SP260002811,2026-02-12 16:17:05,Hoàn thành,LAN-027,Áo mẫu 027,1,199000,199000,0.0,31840.0,11940.0,17910.0,1990.0,2985.0,0,Cần Thơ,SPX Express
SP260002812,2026-02-12 16:19:00,Đã huỷ,LAN-142,Set đồ mẫu 142,1,109000,109000,8000.0,0.0,0.0,0.0,0.0,0.0,0,Cần Thơ,GHN
SP260002814,2026-02-12 16:24:02,Hoàn thành,LAN-034,Áo mẫu 034,1,279000,279000,70000.0,33440.0,12540.0,18810.0,2090.0,3135.0,0,Thanh Hoá,SPX Express
SP260002815,2026-02-12 16:25:08,Hoàn thành,LAN-011,Áo mẫu 011,1,259000,259000,0.0,41440.0,15540.0,23310.0,2590.0,3885.0,0,Hà Nội,J&T Express
